disciplina;quantidade de turmas;total de vagas;qtdade. de solicitações;qtdade. de matrículas deferidas;qtdade. de matrículas indeferidas
BCJ0203-15;46;1380;1042;1062;85
BCJ0205-15;16;480;247;295;35
BCK0103-15;8;608;356;406;27
BCK0104-15;8;608;509;496;68
BCL0307-15;18;540;261;292;6
BCM0505-15;10;264;307;256;48
BCM0506-15;12;1080;1187;1111;161
BCN0402-15;2;180;239;179;59
BCN0405-15;12;1020;749;769;11
BCN0407-15;6;472;399;470;0
BCS0001-15;56;1680;597;307;295
BCS0002-15;12;528;559;490;139
BHO0001-19;4;360;84;24;60
BHO0002-19;2;180;148;152;12
BHO0101-15;2;180;88;138;0
BHO0102-15;6;540;465;452;69
BHO1102-19;4;360;389;310;89
BHO1335-15;2;180;56;110;0
BHP0202-15;2;180;138;150;0
BHP0202-19;4;360;49;16;33
BHQ0001-15;4;360;57;18;39
BHQ0003-15;6;540;185;183;24
BHQ0004-19;4;360;361;307;70
BHS0002-17;2;60;43;54;0
BHS0005-19;2;120;122;115;24
BIJ0207-15;22;1980;281;315;47
BIK0102-15;22;1980;276;382;5
BIL0304-15;22;1980;247;314;36
BIN0406-15;16;1440;1190;1322;1
BIQ0602-15;10;812;395;454;28
BIR0004-15;12;1000;896;965;35
BIR0603-15;10;816;531;551;65
BIS0003-15;24;2160;984;864;157
BIS0005-15;70;2100;270;205;96
ESHC002-17;1;90;141;90;51
ESHC008-21;2;180;153;150;13
ESHC020-17;2;180;141;130;19
ESHC026-21;2;180;173;148;41
ESHC028-17;2;180;162;150;28
ESHC030-17;2;180;181;160;44
ESHC031-17;2;180;212;179;47
ESHC032-17;2;180;159;150;27
ESHC034-21;2;150;138;140;13
ESHC035-21;2;84;110;84;39
ESHC039-17;2;180;102;114;0
ESHC040-21;2;180;147;142;18
ESHP004-13;2;120;147;119;43
ESHP007-13;2;120;119;130;0
ESHP013-13;2;120;87;91;1
ESHP018-14;2;120;100;126;0
ESHP022-14;2;120;168;150;24
ESHP026-14;2;120;90;87;12
ESHP027-14;2;120;62;81;0
ESHR004-13;2;120;265;180;85
ESHR006-13;2;180;257;180;77
ESHR007-14;2;180;224;180;46
ESHR018-13;2;180;117;131;0
ESHR025-14;2;180;265;179;85
ESHR026-14;2;180;199;169;35
ESHT001-17;2;76;53;59;0
ESHT005-17;2;76;72;79;0
ESHT007-17;2;76;23;59;11
ESHT010-17;2;80;103;75;35
ESHT013-17;2;60;26;32;0
ESHT016-17;2;60;14;21;1
ESHT019-17;2;76;37;47;0
ESHT021-17;2;80;35;55;0
ESHT023-17;2;76;80;87;0
ESTA002-17;7;206;116;141;2
ESTA004-17;2;54;14;19;0
ESTA005-17;1;45;120;104;60
ESTA008-17;4;140;75;91;7
ESTA010-17;2;60;50;38;13
ESTA014-17;2;60;102;60;42
ESTA016-17;2;90;46;57;0
ESTA017-17;2;60;90;60;33
ESTA019-17;4;120;147;108;47
ESTA020-17;2;90;86;89;3
ESTA022-17;1;45;62;45;17
ESTB002-17;2;60;71;53;21
ESTB007-17;2;80;56;55;5
ESTB010-17;2;82;93;82;15
ESTB018-17;2;80;61;57;11
ESTB022-17;2;60;58;44;17
ESTB030-17;2;120;29;43;0
ESTE015-17;1;50;53;53;0
ESTE016-17;1;60;12;17;0
ESTE017-17;1;60;44;55;0
ESTE018-17;1;60;10;12;0
ESTE019-17;2;60;121;60;61
ESTE020-17;2;60;19;25;0
ESTE021-17;1;60;16;18;0
ESTE022-17;1;57;36;56;0
ESTE023-17;1;60;8;7;0
ESTE026-17;2;60;14;16;1
ESTE027-17;4;120;49;63;0
ESTE028-17;1;60;46;60;0
ESTE030-17;1;60;11;12;0
ESTE033-17;1;60;9;17;0
ESTE034-17;3;100;69;59;16
ESTE035-17;1;60;42;57;42
ESTE037-17;1;60;21;24;0
ESTG005-17;1;60;120;60;60
ESTG006-17;1;60;105;60;45
ESTG007-17;1;60;36;47;0
ESTG008-17;1;40;74;40;34
ESTG009-17;1;60;60;60;0
ESTG010-17;1;60;79;60;19
ESTG011-17;1;60;96;60;36
ESTG014-17;1;60;93;60;33
ESTG017-17;1;30;74;30;44
ESTG019-17;1;60;60;60;0
ESTG020-17;1;30;82;30;52
ESTG022-17;2;60;221;60;161
ESTG023-17;1;60;216;60;156
ESTG025-17;1;60;94;60;34
ESTI002-17;2;48;33;45;0
ESTI003-17;4;240;128;153;0
ESTI005-17;2;120;47;68;0
ESTI007-17;2;60;61;52;18
ESTI013-17;2;60;101;88;24
ESTI016-17;2;40;62;44;21
ESTI017-17;2;60;55;45;13
ESTI019-17;2;40;47;39;10
ESTM002-17;2;60;48;38;11
ESTM003-17;3;80;42;57;0
ESTM004-17;2;120;70;80;0
ESTM008-17;2;40;72;47;30
ESTM009-17;2;117;26;34;0
ESTM010-17;3;90;60;60;3
ESTM014-17;1;20;19;20;0
ESTM016-17;1;30;21;30;0
ESTM019-17;2;114;46;68;0
ESTO001-17;8;240;102;120;14
ESTO004-17;6;180;234;149;101
ESTO005-17;2;180;73;115;0
ESTO006-17;12;340;206;226;39
ESTO008-17;6;403;260;255;53
ESTO011-17;2;75;139;145;0
ESTO012-17;6;512;385;435;31
ESTO013-17;9;674;199;330;0
ESTO015-17;1;72;76;76;0
ESTO016-17;6;370;205;251;0
ESTO017-17;4;120;180;119;68
ESTO902-17;10;300;587;270;317
ESTO903-17;22;660;493;463;97
ESTS001-17;2;120;50;59;3
ESTS003-17;2;60;37;44;0
ESTS004-17;1;40;37;40;0
ESTS005-17;1;40;33;33;0
ESTS007-17;1;40;16;17;0
ESTS008-17;2;100;89;75;19
ESTS010-17;3;120;86;92;0
ESTS011-17;1;40;25;33;0
ESTS012-17;1;60;33;36;0
ESTS015-17;2;120;86;87;0
ESTS018-17;1;40;33;36;0
ESTS019-17;1;30;22;16;0
ESTU004-17;2;60;61;52;20
ESTU007-17;1;30;14;13;0
ESTU011-17;2;114;71;72;11
ESTU020-17;2;120;59;68;0
ESTU023-17;2;120;164;120;56
ESTU024-17;2;60;60;45;19
ESTU025-17;2;60;71;60;24
ESTU026-17;4;120;64;89;0
ESTU029-17;4;120;74;78;20
ESTU032-17;2;60;46;35;10
ESTU037-17;2;114;79;73;12
ESTU040-17;1;30;24;30;0
ESZA005-17;1;30;65;30;35
ESZA006-17;1;45;30;45;0
ESZA007-17;1;30;53;42;11
