disciplina;quantidade de turmas;total de vagas;qtdade. de solicitações;qtdade. de matrículas deferidas;qtdade. de matrículas indeferidas
ESZA011-17;1;30;12;0;12
ESZA013-17;1;20;11;20;0
ESZA018-17;1;20;35;20;15
ESZB004-17;1;30;23;29;0
ESZB015-17;2;60;47;55;0
ESZB021-17;1;40;32;40;0
ESZB026-17;1;30;17;22;0
ESZB031-17;1;40;19;17;0
ESZC001-21;1;40;7;7;0
ESZC013-17;2;120;94;95;13
ESZC019-21;1;42;25;42;0
ESZC020-17;1;90;51;59;0
ESZC037-21;1;90;19;28;0
ESZE031-17;1;30;20;30;0
ESZE044-17;1;30;32;32;0
ESZE066-17;1;30;13;19;0
ESZE073-17;1;30;21;30;0
ESZE076-17;1;30;17;30;0
ESZE078-17;1;30;68;68;0
ESZE090-17;1;30;33;33;0
ESZE104-17;1;30;63;50;13
ESZG006-17;1;60;102;110;42
ESZG013-17;2;120;125;119;34
ESZG020-17;1;60;171;60;111
ESZG021-17;1;60;123;60;63
ESZG041-17;1;60;47;60;0
ESZG043-17;1;60;72;60;12
ESZI014-17;1;30;21;30;0
ESZI017-17;1;30;7;30;0
ESZI019-17;1;30;3;0;3
ESZI026-17;1;30;6;30;0
ESZI028-17;1;30;25;30;0
ESZI035-17;1;30;7;16;0
ESZI043-17;1;30;14;30;0
ESZI045-17;1;30;45;30;15
ESZM016-17;1;20;37;25;7
ESZM021-17;1;60;30;40;0
ESZM024-17;1;20;6;8;0
ESZM025-17;1;57;14;14;0
ESZM027-17;1;51;40;51;0
ESZM030-17;1;54;7;8;0
ESZM037-17;1;20;41;30;11
ESZM039-17;1;30;6;6;0
ESZM040-17;1;20;35;35;0
ESZP034-14;1;60;66;60;6
ESZS004-17;1;30;20;44;0
ESZS012-17;2;60;18;19;0
ESZS019-17;1;30;12;10;0
ESZS021-17;1;30;26;28;0
ESZS029-17;1;30;12;12;0
ESZS035-17;1;30;29;30;0
ESZT016-17;2;80;39;54;0
ESZT018-17;1;42;12;41;0
ESZU016-17;1;54;101;54;47
ESZU017-17;2;60;54;59;0
ESZU018-17;1;30;6;11;0
ESZU019-17;2;114;81;81;11
ESZU024-17;2;55;63;47;24
ESZU029-17;2;108;83;81;19
ESZU036-17;2;114;84;87;14
LHE0002-19;2;80;24;26;0
LHZ0023-19;2;80;23;39;6
LHZ0026-19;1;50;17;21;0
MCTA002-17;4;140;273;140;133
MCTA004-17;2;142;327;214;113
MCTA008-17;4;120;297;121;177
MCTA014-15;2;144;395;144;251
MCTA015-13;1;20;94;20;74
MCTA017-17;2;144;258;217;54
MCTA025-13;2;60;103;90;19
MCTA027-17;2;140;258;210;48
MCTA028-15;10;354;471;352;129
MCTA037-17;4;144;441;144;297
MCTB001-17;8;633;267;283;12
MCTB002-13;2;90;35;48;0
MCTB007-17;2;90;16;34;0
MCTB009-17;6;539;226;265;0
MCTB011-17;2;90;16;15;0
MCTB017-13;2;90;21;21;0
MCTB022-17;2;90;43;61;0
MCTB023-17;2;90;41;65;0
MCTB024-13;1;45;3;3;0
MCTB025-13;1;45;1;1;0
MCTB026-17;2;90;21;32;0
MCTB027-13;1;45;6;7;0
MCTC002-15;2;120;114;120;16
MCTC011-15;2;120;102;104;11
MCTC019-20;2;120;50;83;0
MCTC022-15;2;84;105;84;23
MCTC023-15;2;60;103;60;43
MCTC024-15;2;120;46;76;0
MCTD007-18;1;45;8;15;0
MCTD010-18;1;45;66;45;21
MCTD018-18;2;60;19;24;0
MCTD021-18;2;90;23;56;0
MCTD023-18;2;90;23;51;0
MCZA006-17;1;51;101;51;50
MCZA010-13;1;48;46;48;0
MCZA030-17;1;72;239;72;167
MCZB009-13;1;45;6;6;0
MCZB015-13;1;45;69;70;0
MCZB028-13;1;45;7;31;0
MCZB031-17;2;80;23;38;0
MCZB038-17;1;45;3;4;0
MCZC001-20;2;80;54;62;0
MCZC008-13;2;100;153;119;44
MCZC011-15;2;120;83;87;7
MCZC021-20;2;120;136;120;30
MCZD005-18;1;39;21;33;0
NHH2009-13;2;80;29;57;0
NHH2034-13;2;80;51;55;0
NHH2065-18;2;80;19;32;0
NHH2073-18;2;80;28;49;0
NHH2087-16;2;80;18;47;0
NHH2088-16;2;180;22;47;0
NHI2049-13;4;224;535;224;324
NHI5001-15;6;260;123;61;65
NHI5011-13;1;40;24;33;0
NHT1030-15;2;60;89;60;29
NHT1048-15;2;60;38;44;0
NHT1049-15;2;30;12;12;0
NHT1053-15;2;60;99;60;39
NHT1056-15;2;60;85;60;31
NHT1057-15;2;60;33;46;0
NHT1058-15;2;60;42;40;2
NHT1060-15;2;60;11;0;11
NHT1064-15;2;60;41;47;0
NHT1068-15;2;60;33;40;0
NHT1070-15;2;60;33;30;7
NHT1084-16;2;60;23;40;0
NHT3013-13;2;60;16;28;0
NHT3027-15;2;60;51;54;0
NHT3036-15;2;60;14;16;0
NHT3048-15;2;60;13;34;0
NHT3054-15;2;60;23;40;0
NHT3064-15;2;60;32;37;0
NHT3066-15;2;60;27;39;0
NHT3069-15;2;60;32;36;0
NHT3070-15;2;60;23;28;2
NHT3089-15;1;30;10;12;0
NHT3090-15;2;60;12;28;0
NHT3095-15;1;30;4;6;0
NHT4001-15;2;40;27;27;1
NHT4002-13;2;60;71;74;29
NHT4007-15;1;20;16;20;0
NHT4040-15;2;60;23;35;0
NHT4041-15;2;60;80;77;36
NHT4046-15;1;30;14;15;0
NHT4049-15;2;60;27;31;0
NHT4051-15;2;40;52;39;13
NHT4071-15;2;40;12;18;0
NHT4075-15;2;60;81;47;38
NHT5013-15;6;240;99;170;0
NHZ1009-15;2;90;66;82;0
NHZ1027-15;2;55;59;46;17
NHZ1081-13;2;60;23;25;0
NHZ2091-16;1;60;21;29;0
NHZ2099-16;6;260;56;61;0
NHZ2112-18;1;40;11;13;0
NHZ2126-18;1;40;6;10;0
NHZ2138-18;1;40;61;40;21
NHZ2144-18;2;80;13;20;5
NHZ3001-15;1;30;29;30;0
NHZ3002-15;1;30;1;0;1
NHZ3010-15;1;30;12;30;0
NHZ3058-15;1;30;3;6;0
NHZ3077-15;1;30;8;8;0
NHZ3081-15;1;30;3;5;0
NHZ3082-15;2;60;3;2;0
NHZ3094-22;1;30;33;33;0
NHZ4063-15;1;30;2;11;2
NHZ5019-15;1;72;42;72;0
NHZ5020-15;2;90;154;95;60
NHZ5023-18;6;260;87;59;42
NHZ6001-18;2;90;220;179;100
NHZ6007-18;2;90;98;103;9
NHZ6010-18;2;60;35;40;0
NHZ6011-18;2;60;50;49;0
