CURSO;DISCIPLINA;QUANTIDADE DE TURMAS;TOTAL DE VAGAS;QUANTIDADE DE SOLICITAÇÕES;QUANTIDADE DE MATRÍCULAS DEFERIDAS;QUANTIDADE DE MATRÍCULAS INDEFERIDAS
ENGENHARIA DE MATERIAIS;ESZM023-17;1;63;23;23;0
ENGENHARIA DE MATERIAIS;ESZM024-17;1;30;10;10;0
ENGENHARIA DE MATERIAIS;ESZM027-17;1;63;12;12;0
ENGENHARIA DE MATERIAIS;ESZM028-17;1;63;43;43;0
ENGENHARIA DE MATERIAIS;ESZM029-17;1;30;11;11;0
ENGENHARIA DE MATERIAIS;ESZM032-17;1;30;17;17;0
ENGENHARIA DE MATERIAIS;ESZM033-17;1;30;70;30;40
ENGENHARIA DE MATERIAIS;ESZM034-17;1;63;40;40;0
ENGENHARIA DE MATERIAIS;ESZM039-17;1;30;18;18;0
ENGENHARIA DE MATERIAIS;ESZM041-17;1;63;16;16;0
ENGENHARIAS;ESTO001-17;8;240;276;191;85
ENGENHARIAS;ESTO004-17;6;180;170;150;20
ENGENHARIAS;ESTO005-17;2;180;83;83;0
ENGENHARIAS;ESTO006-17;12;360;324;257;67
ENGENHARIAS;ESTO008-17;6;415;419;292;127
ENGENHARIAS;ESTO012-17;8;692;1033;654;379
ENGENHARIAS;ESTO013-17;11;991;718;718;0
ENGENHARIAS;ESTO015-17;1;110;105;105;0
ENGENHARIAS;ESTO016-17;6;405;357;352;5
ENGENHARIAS;ESTO017-17;4;120;225;110;115
ENGENHARIAS;ESTO902-17;15;392;542;346;196
ENGENHARIAS;ESTO903-17;25;680;647;502;145
ENGENHARIAS;MCTB001-17;9;872;683;683;0
ENGENHARIAS;MCTB009-17;6;496;427;427;0
LICENCIATURA EM CIÊNCIAS BIOLÓGICAS;NHT1084-16;2;60;16;16;0
LICENCIATURA EM CIÊNCIAS BIOLÓGICAS;NHT5013-15;4;130;89;89;0
LICENCIATURA EM CIÊNCIAS BIOLÓGICAS;NHZ1094-19;2;80;49;49;0
LICENCIATURA EM CIÊNCIAS BIOLÓGICAS;NHZ3060-15;1;30;4;4;0
LICENCIATURA EM CIÊNCIAS BIOLÓGICAS;NHZ5014-15;2;60;28;28;0
LICENCIATURA EM CIÊNCIAS BIOLÓGICAS;NHZ5021-16;2;66;103;66;37
LICENCIATURA EM FILOSOFIA;NHH2085-16;2;80;48;48;0
LICENCIATURA EM FILOSOFIA;NHH2087-16;2;80;21;21;0
LICENCIATURA EM FILOSOFIA;NHH2088-16;2;70;17;17;0
LICENCIATURA EM FILOSOFIA;NHZ2097-16;1;30;5;5;0
LICENCIATURA EM FÍSICA;NHT3013-13;2;60;25;25;0
LICENCIATURA EM FÍSICA;NHT3048-15;2;60;18;18;0
LICENCIATURA EM FÍSICA;NHT3090-15;2;60;19;19;0
LICENCIATURA EM FÍSICA;NHZ3084-15;1;40;29;29;0
LICENCIATURA EM FÍSICA;NHZ5015-09;2;100;14;14;0
LICENCIATURA EM MATEMÁTICA;MCTD010-18;1;40;29;29;0
LICENCIATURA EM MATEMÁTICA;MCTD018-18;2;60;11;11;0
LICENCIATURA EM MATEMÁTICA;MCTD020-18;1;30;17;17;0
LICENCIATURA EM MATEMÁTICA;MCTD022-18;1;35;48;35;13
LICENCIATURA EM MATEMÁTICA;MCZB036-17;1;34;34;34;0
LICENCIATURA EM MATEMÁTICA;MCZD005-18;1;38;9;9;0
LICENCIATURA EM MATEMÁTICA;MCZD007-18;1;45;10;10;0
LICENCIATURA EM MATEMÁTICA;NHZ5020-15;4;190;191;100;91
LICENCIATURA EM QUÍMICA;NHI5011-13;6;238;217;190;27
LICENCIATURA EM QUÍMICA;NHI5015-15;1;40;104;40;64
LICENCIATURA EM QUÍMICA;NHT4071-15;2;60;13;13;0
LICENCIATURA EM QUÍMICA;NHZ4074-15;1;30;12;12;0
LICENCIATURA EM QUÍMICA;NHZ5016-15;2;75;63;57;6
