disciplina;quantidade de turmas;total de vagas;qtdade. de solicitações;qtdade. de matrículas deferidas;qtdade. de matrículas indeferidas
BCL0308-15;16;640;610;600;21
BIR0004-15;18;860;738;852;0
BIQ0602-15;8;760;400;363;71
BIR0603-15;12;720;491;548;0
BIS0003-15;24;1560;424;112;83
BIJ0207-15;32;1720;123;96;27
BCN0405-15;8;520;163;237;0
BCM0506-15;24;1404;1698;1575;125
MCTA002-17;2;120;199;149;49
MCTA004-17;2;120;265;150;115
MCTA037-17;4;205;473;300;173
MCTA008-17;3;180;255;223;35
MCTA014-15;3;180;402;225;124
NHI2049-13;6;340;601;417;201
MCTA028-15;13;750;514;718;0
MCTA017-17;2;120;178;149;29
NHT1053-15;3;90;120;77;43
NHT1068-15;1;30;37;37;0
NHT1070-15;2;60;36;50;0
NHT1030-15;1;31;38;38;0
NHT1056-15;1;30;64;30;34
NHT1060-15;2;60;38;44;0
NHT1049-15;2;60;9;10;0
NHT1064-15;2;60;41;49;0
ESHC002-17;2;150;215;180;35
ESHC008-17;2;150;134;165;0
ESHC014-17;2;120;127;136;0
ESHC028-17;2;120;160;160;0
ESHC032-17;2;120;135;131;15
ESHC026-17;2;120;127;120;30
NHH2009-13;1;40;16;40;0
NHH2028-13;2;80;92;94;0
NHH2034-13;2;80;38;69;0
NHH2041-13;2;80;16;24;0
NHT3028-15;2;45;24;25;0
NHT3089-15;1;30;9;14;0
MCTB024-13;1;45;7;8;0
MCTB025-13;1;45;2;1;0
MCTB027-13;1;45;12;12;0
MCTC002-15;2;90;155;100;23
NHT1058-15;2;90;106;99;8
MCTC024-15;2;90;105;100;8
MCTC022-15;2;90;143;100;43
MCTC011-15;4;180;164;189;32
ESHT001-17;2;76;34;69;0
ESHT003-17;2;79;48;73;0
ESHT005-17;2;83;71;85;0
ESHT010-17;2;78;93;88;12
ESHT016-17;2;76;26;33;0
ESHT019-17;2;76;22;38;4
ESHT021-17;2;60;41;60;0
ESHT023-17;2;83;82;87;0
ESHP004-13;2;90;164;140;25
ESHP022-14;2;90;144;129;25
ESHP013-13;2;90;97;108;0
ESHP014-13;2;90;126;128;0
ESHP026-14;2;90;49;88;0
ESHP027-14;2;90;33;75;0
ESHP018-14;2;90;109;116;0
ESHP019-13;2;90;141;141;0
NHT4007-15;2;80;29;34;0
NHT4046-15;1;40;17;17;0
ESHR022-14;2;120;115;132;0
ESHR004-13;2;120;183;132;51
ESHR006-13;2;120;168;132;37
ESHR007-14;2;120;186;132;54
ESHR008-13;2;120;167;132;35
ESHR026-14;2;120;140;132;10
ESHR011-13;2;120;181;133;49
ESHR025-14;2;180;177;190;6
ESHR017-13;2;120;151;132;20
MCTA027-17;2;120;241;150;91
NHT1048-15;2;75;60;74;0
BCN0402-15;6;360;487;390;30
ESHC020-17;2;120;187;191;0
ESHC030-17;2;120;156;155;0
ESHC031-17;2;120;112;130;0
ESHC034-17;2;120;150;148;0
ESHC035-17;2;80;169;87;0
ESHC037-17;2;80;52;80;0
ESHC039-17;2;150;109;130;0
ESHT013-17;2;60;18;18;3
ESHP007-13;2;90;83;102;0
NHT1084-16;1;30;11;18;0
NHT5013-15;4;140;70;100;0
NHH2085-16;2;80;55;80;0
NHH2087-16;2;80;12;23;0
NHH2088-16;2;70;13;19;0
NHT3013-13;1;30;17;26;0
NHT3048-15;1;30;4;7;0
NHT3090-15;2;58;15;19;0
MCTD018-18;1;30;20;22;0
NHZ5020-15;2;90;145;145;0
NHT4071-15;1;10;18;10;8
ESTA008-17;5;171;115;121;15
ESTI003-17;3;162;175;175;30
ESTS001-17;2;80;112;107;13
ESTS003-17;1;40;51;51;0
ESTS004-17;1;40;40;40;0
ESTS007-17;1;40;33;40;0
ESTS008-17;1;40;67;70;0
ESTS010-17;1;40;89;45;0
ESTS015-17;1;40;41;45;0
ESTS016-17;1;40;25;36;0
ESTU004-17;2;60;46;60;0
ESTU007-17;1;40;81;45;41
ESTU011-17;1;67;33;67;0
ESTU020-17;2;125;91;110;0
ESTU023-17;2;80;94;83;11
ESTU024-17;1;30;66;30;36
ESTU026-17;2;63;55;63;0
ESTU029-17;2;80;89;89;0
ESTU032-17;1;30;33;33;0
ESTU037-17;1;40;33;40;0
ESTA002-17;9;371;260;321;3
ESTB007-17;2;80;102;104;0
ESTB010-17;2;82;126;126;0
ESTB018-17;2;80;81;80;28
ESTB030-17;2;120;69;80;0
ESTA004-17;1;50;59;59;0
ESTE015-17;1;50;69;50;19
ESTE016-17;1;50;77;50;27
ESTE017-17;1;50;51;51;0
ESTE019-17;2;60;91;86;5
ESTE020-17;2;60;10;19;0
ESTE021-17;1;50;66;65;0
ESTE022-17;1;50;65;54;15
ESTE023-17;1;50;23;37;0
ESTE028-17;1;50;41;50;0
ESTE030-17;1;50;49;50;0
ESTE035-17;1;50;41;50;0
ESTG004-17;1;65;96;65;31
ESTG005-17;1;82;114;82;32
ESTG006-17;1;81;161;81;80
ESTG007-17;1;81;95;81;14
ESTG008-17;1;81;131;81;50
ESTG010-17;1;65;105;67;40
ESTG011-17;1;81;167;81;86
ESTG019-17;1;81;102;81;21
ESTG020-17;2;56;126;56;71
ESTG022-17;2;60;128;60;69
ESTG023-17;1;82;193;82;111
ESTG025-17;1;63;127;63;64
ESTI005-17;2;120;77;87;0
ESTI007-17;2;120;79;101;0
ESTI013-17;2;120;107;119;0
ESTI017-17;2;120;74;86;0
ESTI019-17;2;120;79;85;0
ESTA001-17;1;31;34;34;0
ESTA005-17;1;60;115;60;55
ESTA006-17;1;31;21;31;0
ESTA010-17;3;92;54;61;7
ESTA011-17;4;124;51;124;0
ESTA013-17;2;40;89;60;29
ESTA014-17;2;64;97;82;16
ESTA016-17;1;63;38;63;0
ESTA019-17;6;182;108;182;0
ESTA020-17;1;62;37;60;0
ESTA022-17;1;62;48;61;0
ESTA023-17;3;90;62;92;0
ESTI002-17;3;90;54;78;0
ESTO001-17;4;180;244;180;73
ESTO004-17;5;225;292;237;84
ESTO005-17;3;180;187;187;0
ESTO006-17;6;270;197;249;12
ESTO008-17;5;300;381;300;87
ESTO012-17;10;600;410;600;13
ESTO013-17;11;660;526;625;17
ESTO016-17;6;270;303;276;43
ESTO017-17;4;120;221;120;101
ESTO902-17;7;210;399;210;190
ESTO903-17;6;180;243;180;63
