disciplina;quantidade de turmas;total de vagas;qtdade. de solicitações;qtdade. de matrículas deferidas;qtdade. de matrículas indeferidas
ESTU005-17;2;105;91;105;0
ESTU006-17;4;120;73;61;22
ESTU007-17;2;60;60;37;27
ESTU010-17;4;120;55;81;0
ESTU012-17;2;120;97;98;20
ESTU015-17;2;120;173;123;50
ESTU019-17;2;120;133;97;44
ESTU021-17;2;120;100;99;19
ESTU024-17;1;30;52;31;22
ESTU025-17;1;30;20;21;0
ESTU027-17;2;120;90;79;15
ESTU033-17;2;120;88;72;15
ESTU037-17;1;45;44;45;0
ESTU039-17;2;76;57;63;0
ESTU040-17;1;30;15;30;0
ESZA002-17;1;30;11;14;0
ESZA006-17;1;70;14;19;0
ESZA007-17;1;60;45;47;0
ESZA010-17;1;30;24;19;24
ESZA011-17;1;30;13;17;0
ESZA013-17;2;40;31;20;11
ESZA015-17;1;30;28;30;0
ESZA016-17;1;20;6;8;0
ESZA022-17;1;30;26;27;0
ESZA023-17;1;30;21;27;0
ESZB002-17;1;20;16;20;0
ESZB010-17;2;60;21;33;0
ESZB022-17;1;30;54;40;14
ESZB028-17;1;30;9;0;9
ESZB036-17;1;30;14;20;0
ESZB037-17;1;30;7;9;0
ESZC034-21;2;120;110;130;0
ESZE009-17;1;30;1;0;1
ESZE052-17;1;30;15;16;0
ESZE057-17;1;30;45;30;15
ESZE074-17;1;30;5;7;0
ESZE076-17;1;30;2;0;2
ESZE077-17;1;30;14;25;0
ESZE080-17;1;30;30;30;0
ESZE085-17;1;30;3;4;0
ESZE096-17;1;30;2;3;0
ESZE097-17;1;30;43;43;0
ESZE100-17;1;30;24;28;0
ESZE109-17;1;30;72;72;0
ESZE111-17;1;30;36;36;0
ESZE112-17;1;30;11;14;0
ESZG001-17;1;80;93;80;13
ESZG002-17;1;60;15;22;0
ESZG005-17;1;60;88;60;28
ESZG006-17;1;70;4;13;0
ESZG010-17;1;70;21;44;0
ESZG011-17;1;60;140;61;80
ESZG013-17;2;120;158;150;30
ESZG020-17;1;60;113;159;33
ESZG031-17;1;60;64;57;4
ESZG032-17;1;80;16;28;0
ESZI010-17;1;30;6;22;0
ESZI014-17;1;30;54;30;24
ESZI031-17;2;60;71;60;27
ESZI041-18;1;30;6;25;0
ESZM002-17;1;60;81;80;0
ESZM007-17;1;30;5;5;0
ESZM014-17;1;60;9;8;0
ESZM023-17;1;50;15;16;0
ESZM024-17;1;20;21;21;0
ESZM025-17;1;50;8;8;0
ESZM027-17;1;60;17;17;0
ESZM029-17;1;20;2;2;0
ESZM030-17;1;60;33;39;0
ESZM032-17;1;20;25;20;0
ESZM033-17;1;30;42;28;12
ESZM034-17;1;60;12;22;0
ESZM035-17;1;60;40;47;0
ESZM036-17;1;20;6;6;0
ESZM037-17;1;20;16;20;0
ESZM038-17;1;20;39;39;0
ESZM040-17;1;60;32;36;0
