disciplina;quantidade de turmas;total de vagas;qtdade. de solicitações;qtdade. de matrículas deferidas;qtdade. de matrículas indeferidas
BCJ0204-15;12;360;387;329;76
BCJ0205-15;48;1440;1198;1229;75
BCK0104-15;12;1080;855;1039;16
BCL0306-15;6;600;481;568;56
BCM0505-22;32;1284;1593;1285;340
BCN0404-15;4;360;250;280;0
BCN0407-15;18;1590;1783;1819;17
BCS0001-15;54;1692;434;244;195
BCS0002-15;10;450;612;448;202
BHO0001-19;4;360;125;9;116
BHO1102-19;1;60;89;89;0
BHP0001-15;4;360;352;360;53
BHP0202-19;4;360;78;8;69
BHQ0001-15;4;360;91;8;82
BHQ0002-15;6;600;595;585;98
BHQ0003-15;4;360;89;9;81
BHQ0301-15;4;360;374;323;85
BHS0002-17;2;80;52;70;0
BHS0005-19;3;180;266;180;117
BIJ0207-15;6;380;140;170;15
BIK0102-15;18;1728;253;258;47
BIL0304-15;18;1619;148;181;15
BIN0406-15;13;1140;1428;1437;23
BIQ0602-15;12;1080;498;243;300
BIR0004-15;8;720;473;234;272
BIR0603-15;8;852;264;155;109
BIS0003-15;22;1980;784;836;10
BIS0005-15;56;2064;420;256;183
ESHC003-17;2;180;215;180;51
ESHC008-21;2;180;175;180;20
ESHC012-21;2;180;199;177;47
ESHC013-21;2;180;154;158;32
ESHC017-17;1;90;60;90;0
ESHC026-21;2;180;36;54;6
ESHC028-17;2;180;177;176;30
ESHC032-17;2;180;105;116;0
ESHC035-21;3;120;142;120;44
ESHC037-21;3;126;104;106;22
ESHC038-17;2;180;256;180;77
ESHP009-13;2;120;64;84;0
ESHP012-13;2;120;91;111;0
ESHP019-13;2;120;90;112;0
ESHP021-13;2;120;151;154;0
ESHP028-14;2;120;61;96;0
ESHP030-14;2;120;44;78;0
ESHP031-14;2;120;71;86;0
ESHR004-13;2;180;187;180;42
ESHR005-13;2;180;121;143;0
ESHR007-21;2;180;76;137;0
ESHR015-21;2;180;101;143;0
ESHR016-21;2;180;264;180;84
ESHR024-14;2;180;209;182;27
ESHR029-21;2;180;219;184;37
ESHR031-21;2;180;232;179;52
ESHR903-18;2;80;55;64;0
ESHT009-17;2;76;90;78;20
ESHT011-21;2;64;38;48;0
ESHT012-17;2;76;36;46;0
ESHT015-22;2;60;23;30;2
ESHT017-17;2;76;40;52;0
ESHT018-17;2;76;46;73;0
ESHT020-17;2;76;52;70;0
ESTA002-17;2;60;40;54;3
ESTA003-17;7;230;118;158;3
ESTA004-17;2;60;30;60;0
ESTA006-17;2;40;15;45;0
ESTA007-17;5;132;93;99;5
ESTA008-17;4;120;51;60;9
ESTA011-17;2;60;29;30;9
ESTA013-17;3;48;55;48;16
ESTA014-17;4;114;149;120;32
ESTA016-17;2;120;15;17;0
ESTA017-17;4;120;162;104;60
ESTA018-17;2;120;34;51;0
ESTA019-17;2;60;41;60;3
ESTA020-17;2;120;61;98;0
ESTA021-17;1;60;61;65;0
ESTA023-17;2;60;36;30;7
ESTB005-17;2;60;51;59;0
ESTB009-17;1;40;22;32;0
ESTB013-17;2;80;42;72;0
ESTB021-17;2;80;51;62;0
ESTB023-17;2;80;53;63;0
ESTB024-17;3;72;95;82;18
ESTB025-17;1;30;26;29;0
ESTB028-17;3;70;50;60;0
ESTB031-18;2;80;52;52;0
