disciplina;quantidade de turmas;total de vagas;qtdade. de solicitações;qtdade. de matrículas deferidas;qtdade. de matrículas indeferidas
NHZ6001-18;2;90;135;90;45
NHZ6003-18;1;30;45;30;15
NHZ6006-18;1;30;45;30;15
MCTA003-17;2;120;278;120;52
MCZA004-13;1;60;68;60;8
MCTA007-17;2;120;195;120;29
MCTA009-13;2;120;416;120;176
MCZA008-17;1;60;131;60;71
MCZA032-17;1;60;150;60;90
MCZA014-17;1;60;18;59;0
MCTA016-13;2;120;243;120;63
MCZA018-17;1;60;108;60;48
MCTA018-13;4;240;523;240;163
MCTA024-13;2;120;270;120;90
MCTA025-13;2;120;197;120;24
BIR0004-15;19;875;884;875;47
BIS0003-15;13;780;802;781;6
BIR0603-15;8;584;768;602;167
BIQ0602-15;10;560;613;560;61
BCJ0205-15;48;1920;1943;1920;62
BCN0402-15;31;1868;1816;1817;3
BCK0104-15;16;720;1221;720;321
BIN0406-15;16;960;693;840;0
BCN0405-15;8;480;338;419;7
BCM0505-15;32;1600;1823;1602;146
BCS0002-15;7;315;324;315;33
BCL0307-15;40;1600;1610;1602;26
NHZ1074-15;2;80;106;100;8
NHT1002-15;2;90;227;100;127
NHT1013-15;2;61;65;68;0
NHZ1015-15;1;30;16;28;0
NHZ1016-15;1;40;59;50;9
NHT1072-15;2;75;52;49;3
NHZ1024-15;1;40;56;50;6
NHT1062-15;1;30;38;38;0
NHT1067-15;1;30;30;30;0
NHZ1026-15;1;30;6;7;0
NHT1069-15;2;60;42;45;0
NHT1054-15;1;30;30;30;0
NHZ1031-15;2;80;71;81;0
NHZ1090-15;1;40;17;25;0
NHT1066-15;2;60;29;42;0
NHT1059-15;1;30;25;30;0
NHZ1037-15;2;60;34;60;0
NHT1049-15;2;60;7;7;0
NHZ1051-13;1;40;25;40;0
NHT1063-15;2;60;34;49;0
BHQ0002-15;4;400;421;400;22
BHQ0003-15;3;180;152;180;18
BHP0202-15;8;400;442;400;45
BHS0001-15;2;100;208;100;108
BHQ0301-15;4;400;472;400;73
ESZC001-17;1;40;13;32;0
ESHC003-17;2;100;160;162;1
ESHC036-17;1;40;64;60;4
ESHC037-17;2;75;107;117;0
ESHC007-17;2;100;226;226;1
ESHC033-17;2;100;148;153;0
ESHC012-17;2;100;187;150;38
ESHC013-17;2;100;190;150;40
ESHC027-17;2;100;186;190;0
ESHC022-17;2;100;223;184;39
ESHC024-19;2;100;93;104;0
ESHC025-17;2;100;255;160;46
ESHC029-17;2;100;123;123;0
NHZ2122-18;2;90;43;0;43
NHZ2112-18;1;45;58;58;0
NHH2008-13;2;90;57;90;0
NHH2010-13;2;90;31;90;0
NHH2019-13;2;90;48;90;0
NHH2026-13;1;60;59;60;0
NHH2029-13;2;90;48;90;0
NHZ2138-18;1;45;61;61;0
NHH2040-13;2;90;29;73;0
NHH2047-13;2;90;12;37;0
NHZ2048-11;2;90;7;11;0
NHZ2130-18;1;45;44;45;0
NHZ1003-15;1;30;19;30;0
NHZ3076-15;2;60;5;8;0
NHZ3078-15;1;30;24;30;0
NHZ3010-15;1;30;12;22;0
NHZ3083-15;1;30;6;11;0
NHZ3026-15;1;30;15;29;0
NHT3068-15;2;60;42;53;0
NHT3073-15;2;60;27;24;0
NHT3044-15;2;60;43;56;0
NHT3049-15;4;140;53;84;0
NHZ3056-15;1;30;13;12;0
NHT3089-15;1;30;7;11;0
MCTB001-17;4;240;560;240;140
MCTB006-13;1;45;20;25;0
MCTB009-17;6;360;551;360;23
MCTB010-13;8;480;552;480;2
MCTB012-13;1;45;21;25;0
MCTB014-17;1;45;13;17;0
MCTB015-17;1;45;18;24;0
MCTB016-13;1;45;13;20;0
MCZB014-17;1;45;8;11;0
MCZB015-13;1;45;79;45;34
MCZB021-13;1;45;4;5;0
MCTB019-17;4;240;407;240;0
MCTB020-17;1;45;16;20;0
MCTB024-13;1;45;1;3;0
MCTB025-13;1;45;7;7;0
MCTB027-13;1;45;8;7;0
MCZC010-15;2;80;86;86;0
MCZC002-15;2;80;32;70;0
MCZC007-15;2;80;87;89;0
MCTC001-15;2;80;215;120;0
MCTC021-15;2;80;112;101;11
MCTC018-15;2;80;87;90;0
MCTC007-15;2;80;149;80;0
MCTC009-15;2;80;85;88;0
MCTC020-15;2;80;89;90;6
ESZT002-17;1;40;67;40;28
ESHT009-17;2;82;87;90;0
ESHT011-17;2;76;33;60;0
ESHT012-17;1;60;44;60;0
ESZT022-17;1;40;39;40;0
ESHT015-17;1;38;11;14;0
ESZT008-17;1;40;53;53;0
ESHT017-17;2;76;60;76;0
ESHT018-17;2;76;26;70;0
ESHT020-17;2;76;46;76;0
ESZP009-13;1;40;41;41;1
ESZT018-17;1;40;21;25;0
ESHP031-14;2;110;99;119;0
ESHP009-13;2;90;101;102;0
ESHP012-13;2;118;92;119;0
ESZP026-13;2;90;106;106;0
ESHP030-14;2;122;107;126;0
ESZP008-13;2;90;89;95;0
ESHP028-14;2;117;101;120;0
ESHP021-13;2;181;165;185;0
NHT4001-15;2;80;70;76;0
NHT4005-15;2;80;48;50;0
NHT4007-15;2;80;89;93;0
NHT4017-15;4;140;56;87;0
NHT4023-15;2;80;35;61;0
NHT4024-15;2;80;28;38;0
NHT4025-15;2;80;29;32;0
NHT4055-15;2;80;21;25;0
NHT4046-15;1;40;10;12;0
ESZR002-13;2;120;182;132;50
ESHR005-13;2;180;254;180;75
ESHR024-14;4;274;269;286;21
ESHR903-18;2;90;61;76;0
ESZR021-16;2;180;247;180;67
ESZR018-14;3;210;208;213;40
ESHR015-13;2;180;168;180;11
ESHR016-13;2;180;149;180;9
ESHR018-13;2;120;220;132;88
ESHR019-13;2;180;189;180;17
ESHR027-14;2;182;226;182;44
ESZS019-17;1;40;28;34;0
ESTS012-17;1;40;77;60;17
ESZS016-17;1;40;32;40;0
ESZS034-17;1;40;21;28;0
ESTS004-17;2;80;92;100;23
ESTS001-17;2;80;96;80;28
ESTA001-17;5;190;93;145;0
ESTS006-17;2;60;59;59;19
ESTS009-17;1;40;59;60;0
ESTO015-17;3;140;211;160;79
ESTS011-17;1;40;8;0;8
ESTA020-17;4;195;95;143;9
ESZS031-17;1;40;12;16;0
ESTS013-17;1;40;20;23;0
ESZS033-17;1;40;25;36;0
ESTA003-17;6;253;116;146;6
ESTS017-17;1;40;16;25;0
ESTS010-17;1;40;38;40;0
ESZA006-17;1;40;18;29;0
ESTO014-17;4;180;211;230;12
ESTS018-17;1;40;48;50;0
ESTI003-17;2;100;182;128;54
ESTS008-17;1;40;59;60;0
ESTU025-17;1;40;43;43;0
ESTU004-17;2;60;35;58;0
ESZU022-17;2;80;44;78;0
ESZU002-17;2;80;76;80;0
ESZU003-17;2;80;38;61;0
ESZU034-17;2;80;115;81;35
ESTU028-17;2;80;53;65;0
ESTU009-17;2;80;66;73;6
ESTU010-17;4;120;56;87;0
ESTU040-17;2;70;30;38;0
ESZU037-17;1;40;52;40;12
ESTU031-17;2;125;77;111;0
ESTU039-17;2;80;66;81;0
ESZU030-17;1;40;37;40;0
ESTU034-17;2;80;66;77;0
ESTU036-17;2;96;59;70;0
ESTU035-17;2;125;54;63;0
ESZU033-17;1;40;30;40;0
ESTU038-17;2;70;41;57;0
ESTB013-17;2;136;136;143;0
ESTB005-17;2;60;84;84;4
ESTA002-17;2;113;68;99;0
ESZB027-17;1;30;45;30;15
ESTB028-17;2;60;70;60;12
ESTB023-17;2;111;67;92;0
ESZB022-17;1;40;63;70;0
ESTB031-18;2;125;63;74;0
ESTB024-17;2;79;54;57;0
ESZB038-17;1;30;3;4;0
ESZB010-17;1;40;28;40;0
ESTB021-17;2;100;51;0;51
ESZB008-17;1;30;39;39;0
ESTE037-17;1;63;44;63;0
ESTA004-17;2;80;85;87;0
ESTE036-17;1;50;31;50;0
ESZA011-17;3;90;33;54;0
ESZA012-17;1;30;12;18;0
ESTE004-17;1;50;88;50;38
ESTE029-17;1;50;36;50;0
ESTE030-17;1;50;25;45;0
ESTE033-17;1;50;39;50;0
ESTE032-17;1;50;30;43;0
ESTE025-17;1;50;36;47;0
ESTE018-17;1;50;8;8;0
ESZE052-17;1;50;43;49;0
ESTE020-17;1;30;35;35;0
ESTE016-17;1;50;24;34;0
ESTA016-17;1;50;77;50;27
ESTE024-17;1;50;78;50;28
ESZE112-17;1;50;2;8;0
