disciplina;quantidade de turmas;total de vagas;qtdade. de solicitações;qtdade. de matrículas deferidas;qtdade. de matrículas indeferidas
MCTA009-13;4;360;708;379;328
MCTA016-13;2;150;326;200;126
MCTA018-13;4;176;355;216;99
MCTA024-13;4;230;410;277;130
MCTA025-13;2;96;167;96;71
MCTB001-17;4;360;417;400;71
MCTB006-13;2;90;11;13;0
MCTB009-17;8;555;183;268;13
MCTB010-13;8;644;273;282;19
MCTB012-13;2;75;24;34;0
MCTB014-17;2;90;17;20;0
MCTB015-17;2;90;13;18;0
MCTB016-13;2;90;16;21;0
MCTB019-17;2;90;84;100;0
MCTB020-17;2;90;12;16;0
MCTB024-13;1;45;6;8;0
MCTB025-13;1;45;6;5;0
MCTB027-13;1;45;10;11;0
MCTC001-15;2;120;260;260;0
MCTC007-15;4;180;206;191;44
MCTC009-15;2;120;48;61;0
MCTC014-13;2;60;178;90;88
MCTC018-15;2;120;58;66;0
MCTC020-15;2;84;58;69;0
MCTC021-15;2;84;88;84;10
MCTD009-18;2;64;19;26;0
MCTD017-18;2;60;29;42;0
MCTD024-18;2;64;51;58;0
MCZA002-17;1;90;30;65;0
MCZA008-17;1;90;135;90;45
MCZA014-17;1;90;2;0;2
MCZA017-13;1;90;119;90;29
MCZA032-17;1;48;68;48;20
MCZA053-22;1;75;102;75;27
MCZB012-13;1;45;34;45;0
MCZB016-13;1;45;11;19;0
MCZB029-17;1;45;2;3;0
MCZB030-17;1;45;3;3;0
MCZB031-17;1;45;77;80;0
MCZC007-15;2;120;96;89;12
MCZC018-20;2;120;118;120;18
MCZC019-20;2;120;63;90;0
MCZD002-18;1;39;44;44;0
MCZD004-18;1;39;38;39;0
MCZD010-18;1;39;7;7;0
NHH2010-18;2;66;19;15;13
NHH2019-13;2;66;39;66;0
NHH2023-16;2;80;2;8;0
NHH2026-13;2;66;73;66;17
NHH2040-13;2;66;21;25;0
NHH2090-16;2;80;7;9;0
NHI5002-15;8;331;269;305;0
NHI5015-15;7;231;445;198;247
NHT1002-15;2;50;120;100;23
NHT1013-15;2;24;33;37;0
NHT1049-15;2;30;15;10;0
NHT1054-15;2;24;25;28;0
NHT1059-15;2;20;32;35;0
NHT1063-15;2;24;26;31;0
NHT1069-15;2;24;27;29;0
NHT1071-15;2;20;56;59;4
NHT1072-15;2;60;67;80;0
NHT1083-16;2;60;35;40;0
NHT1092-16;1;12;9;9;0
NHT3044-15;2;60;32;39;0
NHT3049-15;2;60;21;32;0
NHT3055-13;2;62;15;11;12
NHT3068-15;2;60;31;34;0
NHT3073-15;2;60;17;13;2
NHT3089-15;1;30;10;12;0
NHT3095-15;2;60;16;17;7
NHT4005-15;2;30;24;24;0
NHT4006-15;1;30;21;30;0
NHT4015-15;2;20;13;15;0
NHT4017-15;2;90;23;38;0
NHT4024-15;2;60;19;23;0
NHT4030-19;2;20;15;16;0
NHT4040-15;2;30;38;39;0
NHT4046-15;1;30;11;13;0
NHT4053-15;2;30;53;48;4
NHT4056-15;2;30;59;43;15
NHT4057-15;2;60;18;17;0
NHT4073-15;2;60;18;19;0
NHT5004-15;5;160;106;134;0
NHZ1003-15;1;30;14;24;0
NHZ1026-15;1;12;4;5;0
NHZ1031-15;1;10;28;29;0
NHZ1074-15;1;15;24;30;0
NHZ2053-11;1;33;11;16;0
NHZ2093-16;2;84;36;53;0
NHZ2095-16;1;42;3;4;0
NHZ2098-16;1;40;24;29;0
NHZ2106-18;2;66;100;100;0
NHZ2107-18;2;66;19;54;0
NHZ2109-18;2;66;82;82;0
NHZ2123-18;2;66;9;16;1
NHZ2133-18;1;33;17;25;0
NHZ3026-15;1;30;10;11;0
NHZ3056-15;1;30;12;7;0
NHZ3076-15;2;60;6;7;0
NHZ3078-15;1;30;8;10;0
NHZ3080-15;2;60;10;16;1
NHZ4029-15;2;60;4;3;0
NHZ4035-15;1;30;52;52;0
NHZ4061-15;2;60;32;57;0
NHZ4070-15;1;30;38;38;0
NHZ5019-15;2;64;24;43;0
NHZ5023-18;2;80;39;55;0
NHZ6002-18;2;40;44;40;5
NHZ6003-18;2;40;34;36;0
NHZ6005-18;2;40;31;26;0
NHZ6006-18;2;40;37;37;0
NHZ6007-18;2;60;48;51;0
NHZ6008-18;2;40;34;32;0
NHZ6009-18;2;60;82;68;28
NHZ6010-18;1;30;18;15;0
NHZ6013-18;2;40;11;13;2
