disciplina;quantidade de turmas;total de vagas;qtdade. de solicitações;qtdade. de matrículas deferidas;qtdade. de matrículas indeferidas
BCJ0204-15;18;540;331;378;46
BCJ0205-15;48;1440;883;970;26
BCK0104-15;12;1080;1293;1280;69
BCL0306-15;12;720;507;557;24
BCL0307-15;42;1260;1175;1117;143
BCM0505-15;44;1400;1344;1290;199
BCN0402-15;6;506;533;589;16
BCN0404-15;6;488;290;387;15
BCN0405-15;12;1080;669;697;15
BCN0407-15;18;1620;1112;1150;0
BCS0001-15;28;840;1048;784;331
BCS0002-15;12;540;466;459;81
BHO0001-19;2;160;179;171;8
BHO0102-15;2;160;209;180;29
BHO1102-19;2;160;242;221;82
BHP0001-15;8;480;300;342;0
BHP0202-19;4;160;103;126;0
BHQ0001-15;2;160;132;138;0
BHQ0002-15;8;700;510;589;0
BHQ0003-15;4;212;280;238;42
BHQ0004-19;2;160;139;142;6
BHQ0301-15;4;360;361;363;0
BHS0005-19;4;120;334;175;194
BIN0406-15;2;180;236;270;0
BIQ0602-15;8;600;579;546;93
BIR0004-15;8;600;389;468;0
BIR0603-15;8;598;453;450;90
BIS0003-15;4;360;505;364;141
BIS0005-15;8;218;307;314;8
ESHC003-17;2;180;161;141;29
ESHC007-21;2;180;143;149;5
ESHC012-21;2;180;126;131;0
ESHC013-21;2;180;131;127;10
ESHC016-17;2;180;216;170;66
ESHC022-17;2;180;156;148;24
ESHC025-17;2;180;143;134;15
ESHC027-17;2;180;108;117;0
ESHC035-21;2;84;107;74;37
ESHC037-17;2;84;105;83;39
ESHP009-13;2;120;68;81;0
ESHP012-13;2;120;89;103;0
ESHP019-13;2;180;107;119;0
ESHP021-13;2;180;139;128;15
ESHP028-14;2;150;59;75;0
ESHP030-14;2;120;64;79;0
ESHP031-14;2;180;35;43;0
ESHR001-13;1;90;35;40;0
ESHR005-13;4;360;281;300;0
ESHR015-13;2;180;91;98;0
ESHR016-13;2;180;138;179;0
ESHR024-14;2;180;160;152;12
ESHR027-14;3;270;139;175;0
ESHR903-18;4;160;72;85;0
ESHT009-17;2;76;43;44;0
ESHT011-17;2;76;22;23;0
ESHT012-17;2;76;104;104;0
ESHT015-17;2;60;18;16;4
ESHT017-17;2;76;33;43;0
ESHT018-17;2;76;16;22;4
ESHT020-17;2;78;37;47;0
ESTA001-17;4;120;66;87;3
ESTA002-17;2;56;17;26;0
ESTA003-17;7;230;80;81;8
ESTA004-17;3;86;58;64;0
ESTA006-17;2;120;37;58;0
ESTA007-17;7;300;123;137;0
ESTA008-17;2;90;38;47;2
ESTA010-17;2;120;40;51;0
ESTA011-17;2;90;52;70;1
ESTA013-17;3;60;14;14;8
ESTA014-17;3;90;77;127;0
ESTA016-17;2;120;33;46;0
ESTA017-17;3;90;159;82;85
ESTA018-17;2;120;105;115;0
ESTA019-17;4;120;60;99;0
ESTA020-17;1;30;50;30;20
ESTA021-17;1;60;68;70;0
ESTA023-17;4;120;42;51;0
ESTB005-17;2;60;101;80;21
ESTB013-17;2;60;41;41;0
ESTB021-17;2;80;43;53;0
ESTB023-17;2;80;38;42;0
ESTB024-17;2;84;47;49;0
ESTB025-17;1;30;91;60;31
ESTB028-17;2;60;56;37;24
ESTB031-18;2;80;36;38;4
ESTE004-17;1;60;20;30;0
ESTE014-17;1;30;22;39;0
ESTE016-17;1;60;26;31;0
ESTE018-17;1;60;50;55;0
ESTE021-17;1;60;31;35;0
ESTE023-17;1;60;64;63;0
ESTE024-17;1;60;10;13;0
ESTE025-17;1;60;3;0;3
ESTE026-17;2;60;39;39;0
ESTE027-17;2;60;59;60;5
ESTE029-17;1;60;13;15;0
ESTE030-17;1;60;11;21;0
ESTE031-17;1;30;20;0;20
ESTE033-17;1;52;22;32;0
ESTE034-17;1;60;24;34;0
ESTE036-17;1;60;10;12;0
ESTE037-17;1;60;73;73;0
ESTG001-17;2;120;176;146;30
ESTG002-17;1;60;125;60;65
ESTG003-17;1;80;177;80;97
ESTG004-17;1;65;54;62;0
ESTG005-17;1;80;129;80;49
ESTG013-17;1;60;176;60;116
ESTG014-17;1;60;23;32;0
ESTG016-17;1;60;69;70;0
ESTG020-17;1;60;143;62;81
ESTG021-17;1;30;92;30;62
ESTG022-17;1;30;69;30;39
ESTG023-17;1;60;102;72;30
ESTG024-17;1;60;131;72;59
ESTG025-17;1;60;104;89;14
ESTI002-17;2;120;95;95;21
ESTI006-17;4;234;91;92;12
ESTI015-17;2;60;33;36;0
ESTI016-17;2;40;50;39;15
ESTI020-17;3;87;52;62;0
ESTM002-17;3;90;84;67;20
ESTM005-17;2;90;51;75;0
ESTM006-17;2;90;73;86;0
ESTM013-17;2;90;37;53;0
ESTM017-17;2;90;27;34;0
ESTM018-17;2;90;15;17;0
ESTO001-17;5;150;135;90;60
ESTO005-17;12;660;240;287;49
ESTO006-17;6;180;117;123;19
ESTO008-17;8;480;318;281;108
ESTO011-17;9;540;349;451;36
ESTO012-17;9;540;428;463;26
ESTO013-17;6;360;288;330;39
ESTO014-17;6;360;166;188;0
ESTO015-17;4;240;117;153;0
ESTO016-17;2;120;63;79;0
ESTO017-17;14;420;358;311;67
ESTO902-17;15;450;528;344;218
ESTO903-17;6;180;250;145;123
ESTS004-17;2;120;50;57;0
ESTS005-17;1;60;40;52;0
ESTS006-17;3;90;69;69;2
ESTS009-17;2;120;75;85;0
ESTS010-17;1;40;41;40;1
ESTS012-17;1;60;81;60;21
ESTS013-17;2;120;27;38;0
ESTS017-17;2;120;67;60;7
ESTS018-17;2;100;78;69;7
ESTU007-17;2;60;71;70;0
ESTU009-17;2;120;83;120;0
ESTU010-17;2;75;61;69;0
ESTU025-17;2;60;46;41;6
ESTU028-17;2;120;27;31;0
ESTU031-17;2;120;105;120;5
ESTU032-17;1;30;9;12;0
ESTU034-17;2;120;32;42;0
ESTU035-17;2;120;81;105;4
ESTU036-17;4;120;48;60;1
ESTU038-17;2;120;56;63;0
ESTU039-17;2;120;106;120;0
ESTU040-17;2;60;48;60;0
ESZA007-17;1;72;22;45;0
ESZA011-17;3;90;48;50;4
ESZA016-17;2;120;49;65;0
ESZA023-17;1;31;53;31;22
ESZB016-17;1;30;29;30;0
ESZB027-17;1;30;10;16;0
ESZB038-17;1;30;4;5;0
ESZE010-17;1;30;19;30;0
ESZE038-17;1;30;12;15;0
ESZE077-17;1;27;18;27;0
ESZE086-17;1;30;27;30;0
ESZE098-17;1;30;14;21;0
ESZG001-17;1;60;74;74;0
ESZG010-17;1;60;78;60;18
ESZG011-17;1;60;80;60;20
ESZG012-17;1;60;107;72;35
ESZG021-17;1;60;117;80;37
ESZG032-17;2;120;174;144;31
ESZI016-17;1;30;22;30;0
ESZI027-17;2;120;211;119;91
ESZI032-17;1;30;5;7;0
ESZI034-17;1;30;32;30;2
ESZI039-17;1;30;4;8;0
ESZI040-17;1;60;11;17;0
ESZI041-18;1;60;75;60;15
ESZM021-17;1;45;2;3;0
ESZM022-17;1;45;19;24;0
ESZM028-17;1;45;3;4;0
ESZM030-17;1;45;6;7;0
ESZM032-17;1;45;65;45;20
ESZM033-17;1;45;67;45;22
ESZM035-17;1;45;52;45;7
ESZM040-17;1;45;14;21;0
ESZP008-13;2;120;50;58;0
ESZP029-13;2;120;86;94;0
ESZR002-13;2;180;88;142;0
ESZR006-13;1;90;61;68;0
ESZR017-14;2;180;286;180;106
ESZR018-14;2;80;75;81;0
ESZR021-16;2;180;244;180;64
ESZS002-17;1;60;7;0;7
ESZS012-17;1;40;2;0;2
ESZS029-17;1;60;5;0;5
ESZS031-17;1;60;80;80;0
ESZS035-17;1;40;16;17;0
ESZT017-17;1;38;79;78;0
ESZT022-17;1;38;16;34;0
ESZU002-17;2;60;48;60;3
ESZU003-17;2;80;67;80;0
ESZU006-17;1;60;108;120;48
ESZU021-17;2;60;45;49;0
ESZU022-17;1;60;55;60;0
ESZU028-17;1;30;16;30;0
ESZU030-17;2;120;89;120;7
LHE0003-19;2;80;9;5;9
LHZ0021-19;2;80;35;38;0
LHZ0022-19;1;40;1;6;1
LHZ0027-19;1;40;1;7;1
LIE0001-19;6;260;183;221;0
LIZ0001-19;1;45;18;0;18
MCTA003-17;3;270;399;318;113
MCTA007-17;2;150;274;200;74
